"away_score","away_team","club_id","club_name","coach","competition_name","home_score","home_team","match_date","match_result_link","match_time","match_type","play_style","result","season"
1,"Spurs",873,"Crystal Palace","Ian Holloway","Premier League",0,"Crystal Palace","18-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2350365","2:30 PM","1","4-2-3-1","0:1 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Ian Holloway","Premier League",2,"Stoke City","24-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2350372","4:00 PM","2","4-1-4-1","2:1 ","2013"
1,"Sunderland",873,"Crystal Palace","Ian Holloway","Premier League",3,"Crystal Palace","31-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2350382","6:30 PM","3","4-2-3-1","3:1 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Ian Holloway","Premier League",2,"Man Utd","14-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332016","1:45 PM","4","4-2-3-1","2:0 ","2013"
2,"Swansea",873,"Crystal Palace","Ian Holloway","Premier League",0,"Crystal Palace","22-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332000","2:30 PM","5","4-2-3-1","0:2 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Ian Holloway","Premier League",2,"Southampton","28-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331978","4:00 PM","6","4-3-3 Attacking","2:0 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Ian Holloway","Premier League",3,"Liverpool","05-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331962","4:00 PM","7","4-3-3 Attacking","3:1 ","2013"
4,"Fulham",873,"Crystal Palace","Ian Holloway","Premier League",1,"Crystal Palace","21-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332127","9:00 PM","8","4-3-3 Attacking","1:4 ","2013"
2,"Arsenal",873,"Crystal Palace","Keith Millen","Premier League",0,"Crystal Palace","26-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332094","1:45 PM","9","4-2-3-1","0:2 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Keith Millen","Premier League",2,"West Brom","02-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332076","4:00 PM","10","4-2-3-1","2:0 ","2013"
0,"Everton",873,"Crystal Palace","Keith Millen","Premier League",0,"Crystal Palace","09-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332068","4:00 PM","11","4-5-1 flat","0:0 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Keith Millen","Premier League",0,"Hull City","23-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332049","4:00 PM","12","4-3-3 Defending","0:1 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",1,"Norwich","30-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332074","4:00 PM","13","4-3-3 Defending","1:0 ","2013"
0,"West Ham",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","03-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332042","9:00 PM","14","4-4-2 double 6","1:0 ","2013"
0,"Cardiff",873,"Crystal Palace","Tony Pulis","Premier League",2,"Crystal Palace","07-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332055","4:00 PM","15","4-4-2","2:0 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",2,"Chelsea","14-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332047","4:00 PM","16","4-4-2 double 6","2:1 ","2013"
3,"Newcastle",873,"Crystal Palace","Tony Pulis","Premier League",0,"Crystal Palace","21-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331993","4:00 PM","17","4-4-2 double 6","0:3 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",0,"Aston Villa","26-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332008","4:00 PM","18","4-2-3-1","0:1 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",1,"Man City","28-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331998","4:00 PM","19","4-1-4-1","1:0 ","2013"
1,"Norwich",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","01-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331980","4:00 PM","20","4-4-2 double 6","1:1 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",2,"Spurs","11-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332238","4:00 PM","21","4-4-2 double 6","2:0 ","2013"
0,"Stoke City",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","18-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332248","4:00 PM","22","4-2-3-1","1:0 ","2013"
0,"Hull City",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","28-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332235","9:00 PM","23","4-4-2 double 6","1:0 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",2,"Arsenal","02-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332197","5:00 PM","24","4-4-2 double 6","2:0 ","2013"
1,"West Brom",873,"Crystal Palace","Tony Pulis","Premier League",3,"Crystal Palace","08-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332225","4:00 PM","25","4-2-3-1","3:1 ","2013"
3,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",2,"Everton","16-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332177","8:45 PM","26","4-2-3-1","2:3 ","2013"
2,"Man Utd",873,"Crystal Palace","Tony Pulis","Premier League",0,"Crystal Palace","22-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332170","6:30 PM","27","4-2-3-1","0:2 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",1,"Swansea","02-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332179","5:30 PM","28","4-1-4-1","1:1 ","2013"
1,"Southampton",873,"Crystal Palace","Tony Pulis","Premier League",0,"Crystal Palace","08-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332176","4:00 PM","29","4-1-4-1","0:1 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",0,"Sunderland","15-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332141","4:00 PM","30","4-2-3-1","0:0 ","2013"
0,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",1,"Newcastle","22-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332165","4:00 PM","31","4-2-3-1","1:0 ","2013"
0,"Chelsea",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","29-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332154","4:00 PM","32","4-2-3-1","1:0 ","2013"
3,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",0,"Cardiff","05-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332274","4:00 PM","33","4-3-3 Attacking","0:3 ","2013"
0,"Aston Villa",873,"Crystal Palace","Tony Pulis","Premier League",1,"Crystal Palace","12-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332283","4:05 PM","34","4-2-3-1","1:0 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",0,"West Ham","19-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332296","4:00 PM","35","4-2-3-1","0:1 ","2013"
2,"Man City",873,"Crystal Palace","Tony Pulis","Premier League",0,"Crystal Palace","27-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332306","5:10 PM","36","4-2-3-1","0:2 ","2013"
3,"Liverpool",873,"Crystal Palace","Tony Pulis","Premier League",3,"Crystal Palace","05-05-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332258","9:00 PM","37","4-3-3 Defending","3:3 ","2013"
2,"Crystal Palace",873,"Crystal Palace","Tony Pulis","Premier League",2,"Fulham","11-05-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332290","4:00 PM","38","4-4-2 double 6","2:2 ","2013"
2,"Crystal Palace",873,"Crystal Palace","Tony Pulis","FA Cup",0,"West Brom","04-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2387434","4:00 PM","Third Round","4-2-3-1","0:2 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Tony Pulis","FA Cup",2,"Wigan","25-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2421962","4:00 PM","Fourth Round","4-4-2 double 6","2:1 ","2013"
1,"Crystal Palace",873,"Crystal Palace","Ian Holloway","EFL Cup",2,"Bristol City","27-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2360823","8:45 PM","Second Round","4-2-3-1","2:1 ","2013"
0,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",2,"West Ham","17-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331956","4:00 PM","1","4-2-3-1","2:0 ","2013"
2,"Man City",603,"Cardiff","Malky Mackay","Premier League",3,"Cardiff","25-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331957","5:00 PM","2","4-2-3-1","3:2 ","2013"
0,"Everton",603,"Cardiff","Malky Mackay","Premier League",0,"Cardiff","31-08-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331958","4:00 PM","3","4-2-3-1","0:0 ","2013"
1,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",1,"Hull City","14-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332023","4:00 PM","4","4-1-4-1","1:1 ","2013"
1,"Spurs",603,"Cardiff","Malky Mackay","Premier League",0,"Cardiff","22-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332006","5:00 PM","5","4-2-3-1","0:1 ","2013"
2,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",1,"Fulham","28-09-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331971","4:00 PM","6","4-2-3-1","1:2 ","2013"
2,"Newcastle",603,"Cardiff","Malky Mackay","Premier League",1,"Cardiff","05-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331970","4:00 PM","7","4-2-3-1","1:2 ","2013"
1,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",4,"Chelsea","19-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332122","4:00 PM","8","4-1-4-1","4:1 ","2013"
0,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",0,"Norwich","26-10-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332104","4:00 PM","9","4-1-4-1","0:0 ","2013"
0,"Swansea",603,"Cardiff","Malky Mackay","Premier League",1,"Cardiff","03-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332106","5:00 PM","10","4-1-4-1","1:0 ","2013"
0,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",2,"Aston Villa","09-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332087","4:00 PM","11","4-1-4-1","2:0 ","2013"
2,"Man Utd",603,"Cardiff","Malky Mackay","Premier League",2,"Cardiff","24-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332093","5:00 PM","12","4-2-3-1","2:2 ","2013"
3,"Arsenal",603,"Cardiff","Malky Mackay","Premier League",0,"Cardiff","30-11-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332065","4:00 PM","13","4-1-4-1","0:3 ","2013"
0,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",0,"Stoke City","04-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332063","8:45 PM","14","4-2-3-1","0:0 ","2013"
0,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",2,"Crystal Palace","07-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332055","4:00 PM","15","4-2-3-1","2:0 ","2013"
0,"West Brom",603,"Cardiff","Malky Mackay","Premier League",1,"Cardiff","14-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332026","4:00 PM","16","4-2-3-1","1:0 ","2013"
1,"Cardiff",603,"Cardiff","Malky Mackay","Premier League",3,"Liverpool","21-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331995","1:45 PM","17","4-2-3-1","3:1 ","2013"
3,"Southampton",603,"Cardiff","Malky Mackay","Premier League",0,"Cardiff","26-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332013","4:00 PM","18","4-4-2 double 6","0:3 ","2013"
2,"Sunderland",603,"Cardiff","David Kerslake","Premier League",2,"Cardiff","28-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331967","6:30 PM","19","4-2-3-1","2:2 ","2013"
0,"Cardiff",603,"Cardiff","David Kerslake","Premier League",2,"Arsenal","01-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2331977","4:00 PM","20","4-2-3-1","2:0 ","2013"
2,"West Ham",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","11-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332227","4:00 PM","21","4-2-3-1","0:2 ","2013"
2,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",4,"Man City","18-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332246","4:00 PM","22","4-1-4-1","4:2 ","2013"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",2,"Man Utd","28-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332230","8:45 PM","23","4-2-3-1","2:0 ","2013"
1,"Norwich",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",2,"Cardiff","01-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332220","4:00 PM","24","4-4-2 double 6","2:1 ","2013"
0,"Cardiff",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",3,"Swansea","08-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332206","6:30 PM","25","4-2-3-1","3:0 ","2013"
0,"Aston Villa",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","11-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332200","8:45 PM","26","4-4-2 double 6","0:0 ","2013"
4,"Hull City",603,"Cardiff","Ole Gunnar Solskjaer","Premier League",0,"Cardiff","22-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2332160","4:00 PM","27","4-4-2 double 6","0:4 ","2013"
