"club_id","draw","goals_conceded","goals_scored","league_standing","loss","plus_minus","Points","season","team_link","team_name","total_matches","wins"
11,6,34,70,"1",7,36,82,"2013","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2013","Arsenal",38,25
281,8,36,82,"2",5,46,77,"2013","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2013","Man City",37,24
631,7,40,71,"3",8,31,77,"2013","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2013","Chelsea",38,23
985,7,37,68,"4",8,31,74,"2013","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2013","Man Utd",37,22
148,7,44,52,"5",10,8,70,"2013","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2013","Spurs",37,20
31,8,40,84,"6",9,44,69,"2013","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2013","Liverpool",37,20
29,6,33,53,"7",13,20,67,"2013","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2013","Everton",37,18
762,15,55,48,"8",6,-7,54,"2013","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2013","Newcastle",37,16
180,11,43,49,"9",15,6,51,"2013","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2013","Southampton",38,12
405,16,55,50,"10",10,-5,43,"2013","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2013","Aston Villa",37,11
2288,16,52,42,"11",12,-10,39,"2013","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2013","Swansea",37,9
379,18,58,41,"12",11,-17,38,"2013","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2013","West Ham",38,9
1123,17,58,34,"13",11,-24,38,"2013","https://www.transfermarkt.com/norwich-city/spielplan/verein/1123/saison_id/2013","Norwich",37,9
931,21,65,39,"14",5,-26,38,"2013","https://www.transfermarkt.com/fc-fulham/spielplan/verein/931/saison_id/2013","Fulham",37,11
984,17,59,47,"15",13,-12,34,"2013","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2013","West Brom",37,7
512,19,57,31,"16",10,-26,34,"2013","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2013","Stoke City",37,8
289,20,60,35,"17",10,-25,31,"2013","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2013","Sunderland",37,7
3008,8,23,22,"18",5,-1,23,"2013","https://www.transfermarkt.com/hull-city/spielplan/verein/3008/saison_id/2013","Hull City",19,6
1071,8,38,25,"19",6,-13,18,"2013","https://www.transfermarkt.com/wigan-athletic/spielplan/verein/1071/saison_id/2013","Wigan",18,4
603,9,30,15,"20",6,-15,18,"2013","https://www.transfermarkt.com/cardiff-city/spielplan/verein/603/saison_id/2013","Cardiff",19,4
873,13,28,12,"21",1,-16,16,"2013","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2013","Crystal Palace",19,5
1039,9,24,14,"22",6,-10,15,"2013","https://www.transfermarkt.com/queens-park-rangers/spielplan/verein/1039/saison_id/2013","QPR",18,3
1032,11,36,21,"23",3,-15,15,"2013","https://www.transfermarkt.com/fc-reading/spielplan/verein/1032/saison_id/2013","Reading",18,4
631,5,37,78,"1",10,41,79,"2016","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2016","Chelsea",38,23
31,7,49,87,"2",10,38,73,"2016","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2016","Liverpool",38,21
985,8,38,56,"3",9,18,72,"2016","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2016","Man Utd",38,21
148,6,33,69,"4",11,36,71,"2016","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2016","Spurs",37,20
11,6,37,71,"5",12,34,69,"2016","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2016","Arsenal",37,19
281,9,42,73,"6",9,31,69,"2016","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2016","Man City",38,20
180,11,40,52,"7",9,12,63,"2016","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2016","Southampton",38,18
1003,10,42,55,"8",11,13,62,"2016","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2016","Leicester",38,17
379,13,61,60,"9",10,-1,55,"2016","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2016","West Ham",38,15
29,14,50,49,"10",12,-1,48,"2016","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2016","Everton",38,12
984,14,47,41,"11",13,-6,46,"2016","https://www.transfermarkt.com/west-bromwich-albion/spielplan/verein/984/saison_id/2016","West Brom",38,11
989,18,64,49,"12",7,-15,46,"2016","https://www.transfermarkt.com/afc-bournemouth/spielplan/verein/989/saison_id/2016","Bournemouth",38,13
512,17,68,43,"13",10,-25,43,"2016","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2016","Stoke City",38,11
281,4,33,89,"1",7,56,88,"2014","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2014","Man City",38,27
289,17,59,46,"14",11,-13,41,"2016","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2016","Sunderland",38,10
2288,20,72,47,"15",7,-25,40,"2016","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2016","Swansea",38,11
1010,19,60,38,"16",8,-22,38,"2016","https://www.transfermarkt.com/fc-watford/spielplan/verein/1010/saison_id/2016","Watford",37,10
873,22,68,45,"17",9,-23,27,"2016","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2016","Crystal Palace",37,6
1132,10,29,21,"18",2,-8,23,"2016","https://www.transfermarkt.com/fc-burnley/spielplan/verein/1132/saison_id/2016","Burnley",19,7
762,9,31,25,"19",5,-6,20,"2016","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2016","Newcastle",19,5
641,9,22,17,"20",6,-5,18,"2016","https://www.transfermarkt.com/fc-middlesbrough/spielplan/verein/641/saison_id/2016","Middlesbrough",19,4
631,4,22,77,"2",7,55,88,"2014","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2014","Chelsea",38,27
31,8,52,83,"3",7,31,76,"2014","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2014","Liverpool",38,23
11,8,46,65,"4",10,19,70,"2014","https://www.transfermarkt.com/fc-arsenal/spielplan/verein/11/saison_id/2014","Arsenal",38,20
985,10,40,65,"5",9,25,66,"2014","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2014","Man Utd",38,19
148,12,51,57,"6",6,6,66,"2014","https://www.transfermarkt.com/tottenham-hotspur/spielplan/verein/148/saison_id/2014","Spurs",38,20
180,12,41,60,"7",8,19,62,"2014","https://www.transfermarkt.com/fc-southampton/spielplan/verein/180/saison_id/2014","Southampton",38,18
1123,13,35,17,"21",2,-18,14,"2016","https://www.transfermarkt.com/norwich-city/spielplan/verein/1123/saison_id/2016","Norwich",19,4
3008,12,41,16,"22",4,-25,13,"2016","https://www.transfermarkt.com/hull-city/spielplan/verein/3008/saison_id/2016","Hull City",19,3
405,14,42,12,"23",3,-30,9,"2016","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2016","Aston Villa",19,2
31,1,28,88,"1",5,60,98,"2019","https://www.transfermarkt.com/fc-liverpool/spielplan/verein/31/saison_id/2019","Liverpool",37,31
29,14,52,59,"8",8,7,56,"2014","https://www.transfermarkt.com/fc-everton/spielplan/verein/29/saison_id/2014","Everton",38,16
379,16,46,52,"9",5,6,56,"2014","https://www.transfermarkt.com/west-ham-united/spielplan/verein/379/saison_id/2014","West Ham",38,17
512,14,46,48,"10",9,2,54,"2014","https://www.transfermarkt.com/stoke-city/spielplan/verein/512/saison_id/2014","Stoke City",38,15
2288,17,52,54,"11",7,2,49,"2014","https://www.transfermarkt.com/swansea-city/spielplan/verein/2288/saison_id/2014","Swansea",38,14
873,15,50,41,"12",12,-9,45,"2014","https://www.transfermarkt.com/crystal-palace/spielplan/verein/873/saison_id/2014","Crystal Palace",38,11
281,6,30,95,"2",2,65,92,"2019","https://www.transfermarkt.com/manchester-city/spielplan/verein/281/saison_id/2019","Man City",38,30
1003,12,44,70,"3",6,26,66,"2019","https://www.transfermarkt.com/leicester-city/spielplan/verein/1003/saison_id/2019","Leicester",38,20
631,12,51,60,"4",7,9,64,"2019","https://www.transfermarkt.com/fc-chelsea/spielplan/verein/631/saison_id/2019","Chelsea",38,19
985,10,45,56,"5",11,11,62,"2019","https://www.transfermarkt.com/manchester-united/spielplan/verein/985/saison_id/2019","Man Utd",38,17
543,10,48,53,"6",13,5,58,"2019","https://www.transfermarkt.com/wolverhampton-wanderers/spielplan/verein/543/saison_id/2019","Wolves",38,15
289,14,55,42,"13",14,-13,44,"2014","https://www.transfermarkt.com/afc-sunderland/spielplan/verein/289/saison_id/2014","Sunderland",38,10
762,20,63,36,"14",6,-27,42,"2014","https://www.transfermarkt.com/newcastle-united/spielplan/verein/762/saison_id/2014","Newcastle",38,12
405,19,58,32,"15",9,-26,39,"2014","https://www.transfermarkt.com/aston-villa/spielplan/verein/405/saison_id/2014","Aston Villa",38,10
